time,Temperature_celcius,Rain_mm_per_h,Snow_mm_per_h,Air density_kg_per_m3,Ground_level_solar_irradiance_W_per_m2,Cloud_cover_fraction,wind_speed_m_per_s,electricity_kW
01/01/2019 07:00,5.339,0.01,0,1.251,1.27,0.263,14.037,0
01/01/2019 08:00,5.383,0.024,0,1.25,28.815,0.497,14.645,0.183
01/01/2019 09:00,5.719,0.027,0,1.248,55.112,0.481,15.148,0.421
01/01/2019 10:00,6.099,0.018,0,1.246,85.135,0.438,15.585,0.794
01/01/2019 11:00,6.066,0.012,0,1.246,94.435,0.437,16.244,0.95
01/01/2019 12:00,5.887,0.002,0,1.247,82.317,0.402,16.299,0.855
01/01/2019 13:00,5.454,0.001,0,1.248,47.383,0.347,15.968,0.445
01/01/2019 14:00,5.002,0,0,1.25,5.491,0.284,15.2,0
02/01/2019 07:00,1.339,0,0,1.293,2.365,0.005,12.066,0
02/01/2019 08:00,1.247,0,0,1.295,56.375,0.002,11.851,1.769
02/01/2019 09:00,1.494,0,0,1.297,127.731,0.001,11.806,3.647
02/01/2019 10:00,1.752,0,0,1.297,172.421,0,11.91,4.647
02/01/2019 11:00,1.87,0,0,1.298,177.607,0.001,11.946,4.709
02/01/2019 12:00,1.81,0,0,1.299,141.671,0.002,11.847,3.813
02/01/2019 13:00,1.633,0,0,1.299,75.542,0.004,11.334,2.045
02/01/2019 14:00,1.25,0,0,1.3,9.45,0.004,10.773,0.128
03/01/2019 07:00,0.549,0,0,1.303,2.38,0.09,7.444,0
03/01/2019 08:00,0.995,0,0,1.304,52.519,0.392,6.95,1.201
03/01/2019 09:00,1.794,0,0,1.305,115.549,0.422,6.701,2.549
03/01/2019 10:00,2.112,0.001,0,1.305,131.196,0.662,6.317,2.25
03/01/2019 11:00,2.229,0.001,0,1.304,113.025,0.939,5.707,1.511
03/01/2019 12:00,2.205,0.001,0,1.304,93.634,0.91,5.194,1.22
03/01/2019 13:00,1.686,0.001,0,1.305,52.998,0.943,4.983,0.624
03/01/2019 14:00,0.966,0.001,0,1.305,5.701,0.928,4.881,0
04/01/2019 07:00,3.555,0.004,0,1.282,0.429,0.997,7.86,0
04/01/2019 08:00,3.554,0.002,0,1.281,16.869,0.982,7.39,0.029
04/01/2019 09:00,3.796,0.001,0,1.281,70.257,0.905,7.143,0.697
04/01/2019 10:00,4.17,0,0,1.279,121.708,0.448,6.995,1.783
04/01/2019 11:00,4.584,0,0,1.276,153.448,0.144,7.049,2.993
04/01/2019 12:00,4.686,0,0,1.275,136.717,0.19,6.992,3.041
04/01/2019 13:00,4.344,0,0,1.275,73.876,0.634,7.242,1.543
04/01/2019 14:00,3.584,0,0,1.276,9.705,0.946,7.485,0.07
05/01/2019 07:00,3.595,0.003,0,1.277,1.892,0.748,6.099,0
05/01/2019 08:00,3.385,0.002,0,1.28,33.896,0.655,6.202,0.312
05/01/2019 09:00,3.562,0,0,1.28,96.024,0.344,6.272,1.539
05/01/2019 10:00,4.044,0,0,1.279,148.808,0.157,6.204,3.034
05/01/2019 11:00,4.636,0,0,1.276,172.359,0.077,6.116,4.02
05/01/2019 12:00,4.807,0,0,1.275,141.961,0.053,5.775,3.42
05/01/2019 13:00,4.16,0,0,1.276,78.304,0.027,5.424,1.866
05/01/2019 14:00,2.58,0,0,1.278,11.166,0.016,5.719,0.154
06/01/2019 07:00,0.001,0.004,0.003,1.303,2.332,0.802,2.814,0
06/01/2019 08:00,0.473,0.004,0.002,1.302,40.783,0.577,3.187,0.475
06/01/2019 09:00,1.372,0.003,0.001,1.3,89.989,0.48,3.623,1.245
06/01/2019 10:00,1.976,0.002,0,1.297,127.093,0.41,3.906,1.959
06/01/2019 11:00,2.419,0.001,0,1.295,136.372,0.385,4.061,2.216
06/01/2019 12:00,2.559,0.001,0,1.293,117.007,0.367,4.097,1.985
06/01/2019 13:00,1.931,0.001,0,1.292,64.106,0.415,4.248,0.961
06/01/2019 14:00,1.003,0.002,0,1.293,9.516,0.385,4.657,0.036
07/01/2019 07:00,2.89,0.028,0,1.283,0.805,0.992,4.307,0
07/01/2019 08:00,3.174,0.03,0,1.282,11.504,0.993,4.404,0
07/01/2019 09:00,3.644,0.03,0,1.281,26.542,0.993,4.751,0.087
07/01/2019 10:00,4.009,0.032,0,1.279,30.874,0.994,5.245,0.119
07/01/2019 11:00,4.151,0.028,0,1.278,31.917,0.995,5.582,0.128
07/01/2019 12:00,4.169,0.024,0,1.276,37.471,0.992,5.707,0.18
07/01/2019 13:00,3.982,0.021,0,1.275,29.774,0.987,6.081,0.126
07/01/2019 14:00,3.677,0.028,0,1.275,4.912,0.984,6.828,0
08/01/2019 07:00,4.341,0.087,0,1.236,0.479,0.945,5.181,0
08/01/2019 08:00,4.26,0.042,0,1.237,11.023,0.939,3.655,0
08/01/2019 09:00,4.57,0.042,0,1.237,28.636,0.912,4.465,0.103
08/01/2019 10:00,4.775,0.066,0,1.236,38.548,0.92,6.155,0.184
08/01/2019 11:00,4.812,0.103,0,1.236,28.049,0.943,7.608,0.094
08/01/2019 12:00,4.609,0.118,0,1.238,19.977,0.856,8.557,0.033
08/01/2019 13:00,4.167,0.11,0,1.241,19.657,0.736,9.257,0.034
08/01/2019 14:00,3.59,0.091,0,1.245,3.877,0.694,9.395,0
09/01/2019 07:00,0.742,0.02,0.003,1.279,2.646,0.681,10.763,0
09/01/2019 08:00,0.795,0.024,0.003,1.281,31.388,0.739,10.669,0.203
09/01/2019 09:00,0.94,0.016,0.004,1.282,66.787,0.691,10.572,0.593
09/01/2019 10:00,1.136,0.012,0.002,1.283,100.206,0.631,10.469,1.064
09/01/2019 11:00,1.333,0.009,0,1.283,113.128,0.511,10.232,1.334
09/01/2019 12:00,1.442,0.004,0,1.283,112.246,0.29,9.833,1.613
09/01/2019 13:00,1.26,0.002,0,1.284,72.662,0.19,9.355,1.147
09/01/2019 14:00,0.615,0.001,0,1.287,12.863,0.056,8.861,0.118
10/01/2019 07:00,-1.895,0,0,1.309,2.971,0.989,4.392,0
